match_id,match_number,date,start_time,player_id_of_the_match,toss_winner,toss_selection,venue_id,venue_name,Team1,Team2,Score1,Score2,winner_team
671,Match 46,11-03-2018,20:00,2028.0,5,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",U Mumba,Puneri Paltan,31,22,U Mumba
672,Match 47,11-03-2018,21:00,326.0,30,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",U.P. Yoddha,Bengaluru Bulls,29,35,Bengaluru Bulls
673,Match 48,11-04-2018,20:00,522.0,2,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Dabang Delhi K.C.,Gujarat Fortunegiants,38,45,Gujarat Fortunegiants
674,Match 49,11-04-2018,21:00,143.0,30,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",U.P. Yoddha,Bengal Warriors,30,30,
675,Match 50,11-06-2018,20:00,41.0,28,Choice of court :Right,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Haryana Steelers,Jaipur Pink Panthers,38,32,Haryana Steelers
676,Match 51,11-06-2018,21:00,106.0,8,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Telugu Titans,U.P. Yoddha,26,26,
677,Match 9,10-11-2018,20:00,197.0,30,Choice of court :Left,16,"Jawaharlal Nehru Indoor Stadium, Chennai",U.P. Yoddha,Patna Pirates,41,43,Patna Pirates
678,Match 52,11-08-2018,20:00,388.0,28,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Haryana Steelers,Dabang Delhi K.C.,33,39,Dabang Delhi K.C.
679,Match 53,11-08-2018,21:00,318.0,30,Choice of court :Left,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",U.P. Yoddha,Bengaluru Bulls,27,37,Bengaluru Bulls
68,Match 7,7/21/2015,20:00,105.0,7,Choice of court :Left,5,"National Sports Club of India, Mumbai",Puneri Paltan,U Mumba,28,21,Puneri Paltan
680,Match 54,11-09-2018,20:00,324.0,5,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Jaipur Pink Panthers,48,24,U Mumba
681,Match 55,11-09-2018,21:00,143.0,8,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans,Bengal Warriors,30,25,Telugu Titans
682,Match 56,11-10-2018,20:00,197.0,6,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates,Bengal Warriors,50,30,Patna Pirates
683,Match 57,11-10-2018,21:00,2026.0,5,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Gujarat Fortunegiants,36,38,Gujarat Fortunegiants
684,Match 59,11-11-2018,21:00,366.0,5,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Haryana Steelers,31,35,Haryana Steelers
685,Match 60,11/13/2018,20:00,81.0,8,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans,Puneri Paltan,25,28,Puneri Paltan
686,Match 61,11/13/2018,21:00,2026.0,30,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",U.P. Yoddha,U Mumba,41,24,U.P. Yoddha
688,Match 63,11/14/2018,21:00,324.0,1,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls,U Mumba,32,29,Bengaluru Bulls
689,Match 64,11/15/2018,20:00,197.0,6,Choice of court :Left,5,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates,Dabang Delhi K.C.,38,35,Patna Pirates
69,Match 8,7/22/2015,20:00,52.0,3,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers,Bengal Warriors,28,26,Jaipur Pink Panthers
690,Match 65,11/15/2018,21:00,26.0,29,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Tamil Thalaivas,U Mumba,36,22,Tamil Thalaivas
691,Match 66,11/16/2018,20:00,219.0,4,Choice of court :Right,11,"The Arena by Transstadia, Ahmedabad",Bengal Warriors,Gujarat Fortunegiants,35,23,Bengal Warriors
692,Match 67,11/16/2018,21:00,2475.0,3,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Jaipur Pink Panthers,U.P. Yoddha,45,28,Jaipur Pink Panthers
693,Match 68,11/17/2018,20:00,772.0,4,Choice of court :Right,11,"The Arena by Transstadia, Ahmedabad",Bengal Warriors,Puneri Paltan,22,26,Puneri Paltan
694,Match 69,11/17/2018,21:00,757.0,31,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants,Bengaluru Bulls,30,30,
695,Match 70,11/18/2018,20:00,318.0,3,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Jaipur Pink Panthers,Bengaluru Bulls,32,45,Bengaluru Bulls
696,Match 71,11/18/2018,21:00,106.0,30,Choice of court :Right,11,"The Arena by Transstadia, Ahmedabad",U.P. Yoddha,Gujarat Fortunegiants,37,32,U.P. Yoddha
697,Match 72,11/20/2018,20:00,26.0,29,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Tamil Thalaivas,Telugu Titans,27,23,Tamil Thalaivas
698,Match 73,11/20/2018,21:00,251.0,2,Choice of court :Right,11,"The Arena by Transstadia, Ahmedabad",Dabang Delhi K.C.,Gujarat Fortunegiants,26,29,Gujarat Fortunegiants
699,Match 74,11/21/2018,20:00,197.0,29,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Tamil Thalaivas,Patna Pirates,45,27,Tamil Thalaivas
7,Match 7,7/29/2014,20:00,88.0,5,Choice of court : Right,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Patna Pirates,36,33,U Mumba
70,Match 9,7/22/2015,21:00,69.0,6,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates,Bengaluru Bulls,31,26,Patna Pirates
